name,GTIN,price,stock_quantity
CND Exclusive Shades Shellac Luxe Vinylux 3 Piece Gift Set Femme Fatale,639370927213,7.50,68
Essie Expressie Quick Dry Nail Polish 110 Saffr-On The Move,30177222,1.40,716
Essie Expressie Quick Dry Nail Polish 404 Fueled Up,30181533,1.00,18
Essie Mini Trio Gift Set Nail Polish,4056048007569,3.00,29
Essie Nail Lacquer Nail Polish 30 Sew Me,30138247,2.00,72
Essie Nail lacquer Nail Polish 495 Exposed,30154407,1.50,278
Essie Nail Lacquer Nail Polish 581 Fall For NYC,30171305,1.50,132
Essie Nail Lacquer Nail Polish 608 Serene Slate,30172852,1.75,263
Essie Nail lacquer Nail Polish 791 Have A Ball,30159396,1.50,216
L'Oreal Age Perfect Radiant Concealer 03 Dark,3600523333219,1.25,679
L'Oreal Color Riche Lipstick 03 Midnight Bisous,3600523991587,2.50,123
